10_Digit_BBL,GeoBuilding,Latitude,Longitude
3017620041,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-73.95504023749127,40.69278179995346],[-73.95495903439809,40.692791454119636],[-73.95494577341542,40.69272628510418],[-73.95488058792331,40.6924059263604],[-73.9548679225718,40.69234367973127],[-73.9549255822969,40.692336824210116],[-73.95505455555698,40.69232149028675],[-73.95506732713439,40.692382606793025],[-73.955134654852,40.6927047789995],[-73.95514807165077,40.69276898000251],[-73.95504023749127,40.69278179995346]]]]},""properties"":{""name"":null,""base_bbl"":""3017620041"",""shape_area"":""0.0"",""heightroof"":""58.0"",""mpluto_bbl"":""3017627505"",""cnstrct_yr"":""2006"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""40"",""geomsource"":""Other (Man"",""bin"":""3396747"",""lstmoddate"":""2017-08-10T00:00:00.000"",""doitt_id"":""1098751"",""shape_len"":""0.0""}}",-73.9550079966649,40.6925563294238
1007017501,,,
3021077502,,,
1000130001,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.0144911892529,40.705102984746915],[-74.01451338783326,40.70504741048443],[-74.01453282107086,40.705051905187],[-74.01454131375694,40.70503064393813],[-74.01448658783174,40.70501798424368],[-74.01443709358375,40.70500653505512],[-74.01445647034443,40.7049580265702],[-74.01433118408315,40.70492904486551],[-74.01430753780238,40.70498824293199],[-74.01434701720105,40.70499737550835],[-74.01431700104642,40.705072523329385],[-74.01426260833847,40.70505760410369],[-74.01409467674557,40.705011542013196],[-74.01417721570864,40.70480490230274],[-74.01418528389708,40.70478470193435],[-74.01418900754727,40.70478376044084],[-74.01424221893387,40.70477030292829],[-74.01427929221938,40.70477792836949],[-74.01450029433373,40.704823383778034],[-74.01475889910529,40.70487657294287],[-74.01478682015984,40.70491314093367],[-74.01468354804297,40.705147509573905],[-74.0144911892529,40.705102984746915]]]]},""properties"":{""name"":null,""base_bbl"":""1000130001"",""shape_area"":""0.0"",""heightroof"":""178.64"",""mpluto_bbl"":""1000130001"",""cnstrct_yr"":""1887"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""14"",""geomsource"":""Photogramm"",""bin"":""1000043"",""lstmoddate"":""2020-01-28T00:00:00.000"",""doitt_id"":""50468"",""shape_len"":""0.0""}}",-74.0146113948195,40.7049588877088
1000130005,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.01381510930473,40.705401641464306],[-74.01380285550545,40.705398761297666],[-74.0138010638829,40.70539834007313],[-74.01388066900405,40.70529099223474],[-74.0138869479534,40.705292444902895],[-74.0138984479218,40.705295104526336],[-74.01395302183688,40.705219799855016],[-74.01402034089165,40.7051269084168],[-74.01400982550715,40.70512447561451],[-74.01400214901663,40.70512269983941],[-74.01408551151123,40.70500902800645],[-74.01408750076341,40.70500957347295],[-74.01409467674557,40.705011542013196],[-74.01426260833847,40.70505760410369],[-74.01431700104642,40.705072523329385],[-74.01431974174652,40.70507327491558],[-74.01427135873415,40.70513425545896],[-74.01429121748988,40.70514202260832],[-74.01424980558457,40.70520444759726],[-74.01422096218285,40.7051977747722],[-74.01419463233971,40.70523096277108],[-74.0141862647451,40.70522902680247],[-74.01418270517455,40.70522820327309],[-74.014148747387,40.70527114834241],[-74.01413046074637,40.705316929890934],[-74.01417865109887,40.70532807770019],[-74.01419044101067,40.705330804797114],[-74.01422162236244,40.70525274011098],[-74.01434772097593,40.70528191003941],[-74.01431585971858,40.70536167320861],[-74.01436898242537,40.70537396127264],[-74.0144215143346,40.70524244400634],[-74.0143952056755,40.70523635804083],[-74.01442043674176,40.70517319210603],[-74.01445026471478,40.70518009168646],[-74.0144807739386,40.705103709168405],[-74.0144819199402,40.70510083999458],[-74.0144911892529,40.705102984746915],[-74.01468354804297,40.705147509573905],[-74.01450159182477,40.705560444168256],[-74.01438764231872,40.705534085188724],[-74.0141593790981,40.70548128138718],[-74.0139642813811,40.70543614997418],[-74.01381510930473,40.705401641464306]]]]},""properties"":{""name"":null,""base_bbl"":""1000130005"",""shape_area"":""0.0"",""heightroof"":""317.99"",""mpluto_bbl"":""1000130005"",""cnstrct_yr"":""1898"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""16"",""geomsource"":""Photogramm"",""bin"":""1000044"",""lstmoddate"":""2020-01-28T00:00:00.000"",""doitt_id"":""775767"",""shape_len"":""0.0""}}",-74.0142423294557,40.7053790002279
1000167515,,,
1000200001,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.01321517225465,40.70611851629883],[-74.0133525710786,40.70595581585515],[-74.01335658987189,40.705951057987136],[-74.01350038896635,40.70600060716007],[-74.01362638627484,40.70604402217711],[-74.01375540735751,40.70608847948694],[-74.01386759814807,40.70612713668591],[-74.01395067951049,40.706155763809186],[-74.01394319705325,40.70616570906298],[-74.01379018533858,40.70636907196768],[-74.01376133552826,40.70635650158026],[-74.01358827831403,40.70628109350671],[-74.01341333391959,40.70620486412585],[-74.01323587395717,40.706127537044345],[-74.01321517225465,40.70611851629883]]]]},""properties"":{""name"":null,""base_bbl"":""1000200001"",""shape_area"":""0.0"",""heightroof"":""379.41"",""mpluto_bbl"":""1000200001"",""cnstrct_yr"":""1931"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""23"",""geomsource"":""Photogramm"",""bin"":""1000802"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""363122"",""shape_len"":""0.0""}}",-74.01362903545,40.706160058609
1000200004,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.01304457862572,40.706320520458455],[-74.01321517225465,40.70611851629883],[-74.01323587395717,40.706127537044345],[-74.01341333391959,40.70620486412585],[-74.01358827831403,40.70628109350671],[-74.01376133552826,40.70635650158026],[-74.01379018533858,40.70636907196768],[-74.013633599994,40.70657718078153],[-74.0135821144968,40.70655474702614],[-74.0134137824291,40.70648139850447],[-74.01324719629538,40.70640880956666],[-74.01308135135197,40.70633654358647],[-74.01304457862572,40.706320520458455]]]]},""properties"":{""name"":null,""base_bbl"":""1000200004"",""shape_area"":""0.0"",""heightroof"":""458.49550018"",""mpluto_bbl"":""1000200004"",""cnstrct_yr"":""1928"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""24"",""geomsource"":""Photogramm"",""bin"":""1000803"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""275485"",""shape_len"":""0.0""}}",-74.0134243857167,40.7063478487337
1000280012,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.00873480225592,40.70503912130038],[-74.00886750629077,40.7050019551484],[-74.00887391720144,40.70500015993486],[-74.00889348219846,40.70506391914201],[-74.00894729886014,40.70523930399257],[-74.0089535139569,40.70525955781351],[-74.00882614223978,40.70527583358941],[-74.00876139192084,40.705108030922126],[-74.00874490402563,40.70506530020374],[-74.00873480225592,40.70503912130038]]]]},""properties"":{""name"":null,""base_bbl"":""1000280012"",""shape_area"":""0.0"",""heightroof"":""340.89"",""mpluto_bbl"":""1000280012"",""cnstrct_yr"":""1931"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""17"",""geomsource"":""Photogramm"",""bin"":""1000833"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""313683"",""shape_len"":""0.0""}}",-74.0088441568211,40.7051410144728
1000510013,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.01265769103172,40.70892884483267],[-74.01256291977481,40.70888774328292],[-74.01246701487045,40.708846149198145],[-74.0124204654659,40.708825961170064],[-74.01262136817077,40.708520808341426],[-74.01276130548351,40.70856663703255],[-74.01278929509945,40.70857580383071],[-74.01284554664845,40.70849036157671],[-74.0129522753708,40.708531050917976],[-74.01308922144511,40.70858325966807],[-74.01318678457397,40.70862045494978],[-74.01299522648928,40.70907523031861],[-74.01285670643618,40.709015155671786],[-74.01270969165903,40.708951396904844],[-74.01265769103172,40.70892884483267]]]]},""properties"":{""name"":""American Stock Exchange"",""base_bbl"":""1000510013"",""shape_area"":""0.0"",""heightroof"":""216.72"",""mpluto_bbl"":""1000510013"",""cnstrct_yr"":""1921"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""18"",""geomsource"":""Photogramm"",""bin"":""1001033"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""704136"",""shape_len"":""0.0""}}",-74.0127836319179,40.7087828112458
